Sample,purity
0,0.479999989271163
1,0.479999989271163
4,0.289999991655349
5,0.289999991655349
12,0.360000014305114
13,0.629999995231628
14,0.629999995231628
17,0.419999986886978
18,0.419999986886978
21,0.730000019073486
24,0.680000007152557
25,0.560000002384185
26,0.560000002384185
33,0.52999997138977
34,0.52999997138977
37,0.360000014305114
38,0.769999980926513
44,0.219999998807907
45,0.219999998807907
48,0.5
49,0.5
52,0.400000005960464
53,0.400000005960464
56,0.259999990463256
65,0.209999993443489
67,0.75
69,0.610000014305114
71,0.270000010728836
72,0.270000010728836
73,0.270000010728836
77,0.5
79,0.25
80,0.730000019073486
81,0.730000019073486
84,0.170000001788139
85,0.170000001788139
88,0.509999990463256
90,0.569999992847442
91,0.389999985694885
92,0.519999980926513
97,0.400000005960464
102,0.230000004172325
105,0.560000002384185
107,0.560000002384185
108,0.330000013113021
109,0.409999996423721
110,0.600000023841857
112,0.379999995231628
113,0.340000003576278
114,0.219999998807907
115,0.46000000834465
116,0.569999992847442
117,0.239999994635581
118,0.259999990463256
120,0.639999985694885
122,0.379999995231628
124,0.319999992847442
126,0.280000001192092
127,0.360000014305114
128,0.579999983310699
129,0.449999988079071
130,0.540000021457672
131,0.810000002384185
132,0.419999986886978
133,0.409999996423721
134,0.209999993443489
135,0.319999992847442
136,0.360000014305114
137,0.579999983310699
141,0.219999998807907
142,0.540000021457672
143,0.310000002384185
145,0.219999998807907
146,0.400000005960464
147,0.620000004768371
149,0.579999983310699
150,0.449999988079071
151,0.159999996423721
152,0.319999992847442
153,0.509999990463256
156,0.889999985694885
157,0.180000007152557
158,0.180000007152557
161,0.259999990463256
162,0.259999990463256
165,0.259999990463256
166,0.259999990463256
169,0.479999989271163
170,0.479999989271163
173,0.649999976158142
174,0.649999976158142
177,0.360000014305114
178,0.360000014305114
181,0.810000002384185
182,0.810000002384185
185,0.819999992847442
186,0.699999988079071
187,0.419999986886978
188,0.449999988079071
189,0.25
190,0.589999973773956
191,0.46000000834465
192,0.400000005960464
193,0.259999990463256
194,0.600000023841857
195,0.910000026226043
197,0.439999997615814
198,0.709999978542327
199,0.200000002980232
200,0.200000002980232
201,0.810000002384185
202,0.660000026226043
203,0.850000023841857
204,0.469999998807907
205,0.469999998807907
208,0.370000004768371
209,0.370000004768371
216,0.509999990463256
217,0.509999990463256
224,0.439999997615814
225,0.439999997615814
228,0.409999996423721
229,0.409999996423721
232,0.569999992847442
233,0.569999992847442
236,0.660000026226043
237,0.660000026226043
240,0.620000004768371
241,0.439999997615814
242,0.330000013113021
243,0.800000011920929
245,0.200000002980232
246,0.52999997138977
247,0.550000011920929
248,0.389999985694885
250,0.370000004768371
251,0.560000002384185
253,0.689999997615814
254,0.289999991655349
255,0.289999991655349
258,0.769999980926513
259,0.769999980926513
262,0.610000014305114
263,0.270000010728836
264,0.340000003576278
265,0.409999996423721
266,0.680000007152557
268,0.400000005960464
269,0.340000003576278
270,0.230000004172325
271,0.300000011920928
274,0.680000007152557
277,0.649999976158142
278,0.46000000834465
279,0.46000000834465
281,0.400000005960464
282,0.300000011920928
283,0.860000014305114
285,0.289999991655349
286,0.209999993443489
287,0.389999985694885
288,0.649999976158142
289,0.479999989271163
290,0.430000007152557
292,0.550000011920929
293,0.25
294,0.239999994635581
295,0.800000011920929
297,0.730000019073486
298,0.579999983310699
299,0.25
300,0.189999997615814
301,0.589999973773956
303,0.379999995231628
304,0.280000001192092
305,0.550000011920929
308,0.5
309,0.319999992847442
311,0.200000002980232
313,0.200000002980232
314,0.46000000834465
315,0.579999983310699
316,0.790000021457672
317,0.52999997138977
318,0.379999995231628
319,0.409999996423721
320,0.660000026226043
321,0.709999978542327
322,0.469999998807907
323,0.52999997138977
325,0.180000007152557
327,0.400000005960464
328,0.419999986886978
329,0.349999994039535
330,0.6700000166893
331,0.289999991655349
333,0.319999992847442
334,0.300000011920928
335,0.430000007152557
337,0.25
339,0.200000002980232
340,0.550000011920929
341,0.360000014305114
342,0.689999997615814
343,0.25
344,0.370000004768371
346,0.419999986886978
348,0.449999988079071
349,0.300000011920928
350,0.360000014305114
351,0.469999998807907
352,0.430000007152557
353,0.519999980926513
355,0.959999978542327
356,0.569999992847442
357,0.519999980926513
358,0.46000000834465
359,0.660000026226043
361,0.479999989271163
362,0.370000004768371
363,0.759999990463256
365,0.0900000035762786
366,0.829999983310699
367,0.319999992847442
368,0.409999996423721
369,0.479999989271163
370,0.340000003576278
371,0.360000014305114
372,0.46000000834465
373,0.349999994039535
374,0.479999989271163
379,0.680000007152557
380,0.289999991655349
381,0.400000005960464
382,0.219999998807907
383,0.340000003576278
384,0.610000014305114
385,0.319999992847442
388,0.769999980926513
389,0.170000001788139
390,0.479999989271163
391,0.5
392,0.689999997615814
393,0.819999992847442
396,0.660000026226043
397,0.550000011920929
399,0.230000004172325
400,0.209999993443489
402,0.230000004172325
404,0.610000014305114
405,0.5
406,0.509999990463256
408,0.5
411,0.360000014305114
